Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg)
ACURA,ILX,COMPACT,2,4,AS5,Z,9.9,6.7,8.5,33
ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6,5.8,5.9,48
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10,28
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9,11.1,25
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24
ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31
ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,29
ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6,18
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18,12.6,15.6,18
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6,18
